id;staff_id;full_name;position;phone;address;education;email;avatar_url
1;please snow;hearten;because;896-507-0391 x358;qua haircut ouch;wetly;Felicity44@hotmail.com;deceivingly gee typewriter
2;upbeat;above;represent exonerate cluttered;807.851.2904 x24294;validity;lively;Rhiannon73@yahoo.com;keel
3;suffocate galvanize;allegation king;trim untidy oof;200-522-5214 x55678;knit while formal;er;Kyleigh1@hotmail.com;ingratiate
4;loose;instead circa couch;psst whoa;1-915-460-0413;beautifully mobility;how oily respectful;Jana_Glover20@yahoo.com;upbeat
5;indeed;pack;flint;718.692.8079 x45672;duh dissemble husky;solution beneath;Hazle83@hotmail.com;armchair last now
6;construe;clamp whoa;stiffen onto tremendously;(288) 962-3580 x381;quicker freely speedily;willfully;Domenick_Anderson@gmail.com;violently over governance
7;gah;snoop upliftingly down;draft whoever sardonic;1-388-411-6328 x69037;usable kettledrum;likewise;Roger73@yahoo.com;adjudge fork
8;if mousse numeric;hunt;athwart boastfully;1-466-259-9690 x7218;yet;hammock from because;Russ29@yahoo.com;for
9;kiddingly;zesty duh;psst;591.854.2614 x680;coil;outlandish propound;Catharine6@hotmail.com;co-producer curry blah
10;unnaturally without;after yum;consequently qua;384.295.1111 x189;scented crushing nor;excitedly suddenly voluntarily;Jerrell89@hotmail.com;feather
