id;student_id;full_name;phone;address;email;avatar_url
1;so;stormy baritone;1-975-784-1272 x24834;remand;Theodore6@yahoo.com;that
2;reconstitute mothball;yuck;1-445-269-9005 x358;um deck;Prince_Morissette53@gmail.com;likewise
3;belabor;tremendously through;1-986-570-0213 x72260;yuck never prioritize;Christopher_Gislason53@gmail.com;icebreaker an ride
4;icebreaker revoke while;bank outside restaurant;1-521-347-7234 x31922;phew ick;Lexus51@hotmail.com;hmph than
5;until geez mid;vulgarise gestate sizzle;1-408-787-9596 x9639;opposite plus;Jimmie.Volkman74@gmail.com;mysteriously
6;stint preside till;furiously per;(255) 378-6889 x72333;before except bug;Nyasia57@yahoo.com;intrepid
7;how;whose;(400) 223-7796;obediently;Shana32@gmail.com;within fireplace
8;now so merrily;pfft;837.578.7962;considering wisecrack stormy;Treva.Barrows92@gmail.com;notwithstanding brr
9;where;hierarchy sandbar gazebo;774.744.3657 x3517;quaff;Aracely_West@hotmail.com;pfft deliberately
10;consequently;state;217-246-8351 x39521;competent helpful than;Uriel_Dibbert64@hotmail.com;failing
